Security Id,Security Code
BPCL,500547
SIEMENS,500550
TATAMOTORS,500570
VOLTAS,500575
GESHIP,500620
DEEPAKFERT,500645
EXCELINDUS,500650
GRWRHITECH,500655
GLAXO,500660
GNFC,500670
NOVARTIND,500672
SANOFI,500674
PFIZER,500680
GSFC,500690
HINDUNILVR,500696
AKZOINDIA,500710
NOCIL,500730
TATACHEM,500770
TNPETRO,500777
ZUARIGLOB,500780
NESTLEIND,500790
TATACONSUM,500800
ASIANPAINT,500820
BRITANNIA,500825
COLPAL,500830
EIHOTEL,500840
INDHOTEL,500850
CASTROLIND,500870
ITC,500875
APOLLOTYRE,500877
CEATLTD,500878
MODIRUBBER,500890
FINOLEXIND,500940
SUNRINV,501110
ZGOLDINV,501111
PEOPLIN,501144
DSINVEST,501148
CENTRUM,501150
KARTKIN,501151
TCIFINANCE,501242
KRATOSENER,501261
ANTARIKSH,501270
IITL,501295
INDPRUD,501298
TATAINVEST,501301
JAYBHCR,501311
PRISMX,501314
MOTOGENFIN,501343
RAPIDIN,501351
WALCHPF,501370
ZSWASTSA,501386
WHBRADY,501391
TECHNVISN,501421
SHAILY,501423
BBTC,501425
BOMBCYC,501430
GREAVESCOT,501455
MULLER,501477
AMALGAM,501622
ANANDPROJ,501630
INDIANVSH,501700
COASTCORP,501831
CHOWGULSTM,501833
GLOBOFFS,501848
ASIIL,502015
SAGCEM,502090
DECCANCE,502137
MANGLMCEM,502157
NCLIND,502168
SAURASHCEM,502175
SHREDIGCEM,502180
BORORENEW,502219
LERTHAI,502250
RASSIREF,502271
TRIVENIGQ,502281
NILACHAL,502294
ANDHRAPAP,502330
BALKRISIND,502355
ORIENTPPR,502420
CITADEL,502445
ROLLT,502448
SESHAPAPER,502450
SOLIDCO,502460
NATHIND,502587
VAPIPPR,502589
SINTEX,502742
DCM,502820
ZGAEKWAR,502850
FORBESCO,502865
HPCOTTON,502873
UNITEDINT,502893
KATRSPG,502933
KESORAMIND,502937
LAKSHMIMIL,502958
VTL,502986
PENINLAND,503031
PASUSPG,503092
PHOENIXLTD,503100
MARATHON,503101
RAJABAH,503127
RELCHEMQ,503162
RUBYMILLS,503169
SIMPLXREA,503229
SWANENERGY,503310
VICTMILL,503349
ZSVTRADI,503622
ZSVARAJT,503624
SALSAIN,503635
INDSOYA,503639
ZODIACVEN,503641
VEERENRGY,503657
SW1,503659
TILAK,503663
KKFIN,503669
UNIJOLL,503671
WAGEND,503675
ELCIDIN,503681
HEALINV,503689
SAHARA,503691
SHRENTI,503696
BANSWRAS,503722
MODWOOL,503772
MODIPON,503776
SHRIDINE,503804
SRF,503806
SIYSIL,503811
SWADPOL,503816
SHRAJSYNQ,503837
ZSATYASL,503893
BBL,503960
ELPROINTL,504000
GEE,504028
HIRECT,504036
NIPPOBATRY,504058
ZENSARTECH,504067
JYOTI,504076
JSLINDL,504080
KAYCEEI,504084
INDOKEM,504092
PANAENERG,504093
NELCO,504112
PERMAGN,504132
HIGHENE,504176
STDBAT,504180
UNIVCABLES,504212
DLTNCBL,504240
LAKSELEC,504258
MODULEX,504273
DELTAMAGNT,504286
CONFINT,504340
RELTD,504341
GDTRAGN,504346
ZMULTIPU,504356
RIDHISYN,504365
SOFTBPO,504375
NYSSACORP,504378
FLOMIC,504380
KRISHNA,504392
GANHOLD,504397
UNIABEXAL,504605
SARDAEN,504614
BGWTATO,504646
BOMBWIR,504648
GALADA,504697
IBRIGST,504731
INDIANHUME,504741
INLCM,504746
INVPRECQ,504786
INFORTEC,504810
KAIRA,504840
ORIENTABRA,504879
NATIONSTD,504882
DUNCANENG,504908
SANDUMA,504918
STOVACQ,504959
TATAYODOGA,504961
TINPLATE,504966
CHOLAHLDNG,504973
ZWELCAST,504988
WMINIMT,504998
AUTOAXLES,505010
ACGL,505036
SETCO,505075
INRADIA,505100
SCOOTER,505141
TALBROAUTO,505160
ZFSTEERING,505163
SMLISUZU,505192
TIL,505196
EICHERMOT,505200
JAINEX,505212
ALFREDHE,505216
VELJAN,505232
DYNAMATECH,505242
GGDANDE,505250
GMM,505255
KIRLPNU,505283
TULIVE,505285
KPT,505299
LXMIATO,505302
LYNMC,505320
MANUGRAPH,505324
MIRCH,505336
NESCO,505355
INTEGRAEN,505358
REVATHI,505368
TEXINFRA,505400
WENDT,505412
SINDUVA,505504
RESPONIND,505509
SHYMINV,505515
MAHACORP,505523
DOLATALGO,505526
WESTLIFE,505533
ZEEL,505537
GOLDCORP,505576
ZKOVALIN,505585
SVPGLOB,505590
MULTIIN,505594
SKYLMILAR,505650
BIMETAL,505681
TAPARIA,505685
BHARATGEAR,505688
BRADYM,505690
LATIMMETAL,505693
ELECON,505700
DECANBRG,505703
GRAUWEIL,505710
HIMTEK,505712
GABRIEL,505714
HERCULES,505720
AQFINTECH,505725
IFBIND,505726
SINGER,505729
INTLCOMBQ,505737
FMGOETZE,505744
JOSTS,505750
SCHAEFFLER,505790
RANEHOLDIN,505800
ROLCOEN,505807
SNL,505827
JAIPAN,505840
MANCREDIT,505850
TRF,505854
WPIL,505872
KENNAMET,505890
HINDHARD,505893
TRITONV,505978
PRAKASH,506022
HVL,506024
ZPRBHSTE,506042
ARSHIYA,506074
GRINDWELL,506076
LAKPRE,506079
STANROS,506105
GENESYS,506109
ALNATRD,506120
PANKAJPIYUS,506122
PARNAXLAB,506128
VIVIDHA,506146
ISHWATR,506161
TERRAFORM,506162
APIS,506166
ZKHATAUE,506178
EMERGENT,506180
KANANIIND,506184
GCKL,506186
ZSARVAMA,506190
ASL,506194
VIKSHEN,506196
BLISSGVS,506197
INEOSSTYRO,506222
ALEMBICLTD,506235
AMNPLST,506248
ANUHPHR,506260
MODISNME,506261
BAYERCROP,506285
SASHWAT,506313
CHEMOPH,506365
CLNINDIA,506390
COROMANDEL,506395
DEEPAKNI,506401
DHARAMSI,506405
FERMENTA,506414
GOCLCORP,506480
JAYCH,506520
JLMORI,506522
KANORICHEM,506525
KELENRG,506528
KEMP,506530
NITTAGELA,506532
MPAGI,506543
ORIENTCQ,506579
PHILIPCARB,506590
AMAL,506597
POLYCHEM,506605
PUNJABCHEM,506618
GUJCMDS,506640
SADHNANIQ,506642
SUDARSCHEM,506655
ULTRAMAR,506685
TRANSPEK,506687
UNICHEMLAB,506690
MYSORPETRO,506734
ALKYLAMINE,506767
TUTIALKA,506808
ASTRAZEN,506820
PACL,506852
TANFACIND,506854
GUJPETR,506858
MASCH,506867
GUJTHEM,506879
JAYSYN,506910
MAKERSL,506919
CONTCHM,506935
JBCHEPHARM,506943
IGLFXPL-B,506945
ADVPETR-B,506947
RAJSPTR,506975
BLUECHIPT,506981
JAGAJITIND,507155
KESARENT,507180
TI,507205
EMERALL,507265
RAVALSUGAR,507300
SAKHTISUG,507315
WALCHANNAG,507410
KHODAY,507435
IFBAGRO,507438
DHARSUGAR,507442
KFBL,507474
CAPRO,507486
GMBREW,507488
RANASUG,507490
PICCASUG,507498
RIGASUG,507508
SDBL,507514
CJGEL,507515
AMRITCORP,507525
ASALCBR,507526
CORAGRO,507543
FOODSIN,507552
IVP,507580
KLRFM,507598
OLYOI,507609
MLKFOOD,507621
POLSON,507645
SAGRSOY-B,507663
WIPRO,507685
ORIBEVER,507690
DHANUKA,507717
TTKHEALTH,507747
TGVSL,507753
LIMECHM,507759
KANPRPLA,507779
TAINWALCHM,507785
JAGSNPHARM,507789
KHAICHEM,507794
UNTTEMI,507808
NOL,507813
GILLETTE,507815
WIREFABR,507817
ANSALHSG,507828
MCCHRLS-B,507836
ADDIND,507852
PIONRINV,507864
ASHNOOR,507872
UNITECH,507878
VIPIND,507880
SCHABLON,507894
FIBERWEB,507910
LKPFIN,507912
EASTBUILD,507917
MNPLFIN,507938
BAJAJST,507944
KIDUJA,507946
KEYCORP,507948
SHIKHARLETR,507952
GUJHOTE,507960
RAJATH,507962
RASRESOR,507966
PARMCOS-B,507970
JINDHOT,507981
JPTRLES,507987
SIMMOND,507998
BNALTD,508136
LEDOTEA,508306
HAWKINCOOK,508486
WARRENTEA,508494
BESTEAST,508664
NEAGI,508670
ISTLTD,508807
COSMOFILMS,508814
NEWMKTADV,508867
APOLLOHOSP,508869
NITINCAST,508875
SMIFS,508905
EVERESTIND,508906
IRONWOOD,508918
MSRINDIA,508922
NORTHPR,508924
JOYREALTY,508929
AYMSYNTEX,508933
PANCARBON,508941
FINKURVE,508954
HBLEAS,508956
SHRICON,508961
STRLGUA,508963
SULABEN,508969
NAVNETEDUL,508989
KEDIACN,508993
TRANOCE,509003
AUSOMENT,509009
RUCHINFRA,509020
VJTFEDU,509026
VOLLF,509038
NETLINK,509040
ZLEENCON,509046
LANCORHOL,509048
INDINFO,509051
BANASFN,509053
VISAKAIND,509055
HATHWAYB,509073
PRESSMN,509077
GUFICBIO,509079
PHOTON,509084
OSWALEA,509099
GRPLTD,509152
INDAG,509162
MMRUBBR-B,509196
PTL,509220
TVSSRICHAK,509243
SEL,509423
BENARAS,509438
BHAGWOX,509449
BOMOXY-B1,509470
CRAVATEX,509472
BERGEPAINT,509480
CAPRIHANS,509486
GRAPHITE,509488
ITDCEM,509496
EMPIND,509525
GRAVISSHO,509546
GARFIBRES,509557
GARWAMAR,509563
GOACARBON,509567
HARDCAS,509597
HEG,509631
HINDCOMPOS,509635
ZHINDHSG,509650
HIL,509675
INDIANCARD,509692
INTLCONV,509709
JAYSHREETEA,509715
MODRNSH,509760
OSEASPR,509782
HUHTAMAKI,509820
PREMSYN,509835
RJSHAH,509845
SHAHCON,509870
SHALPAINTS,509874
SINNAR,509887
HINDMILL,509895
ZSOUTGAS,509910
TECHCON,509917
SUPREMEIND,509930
THACKER,509945
VSTIND,509966
SWASTIVI,510245
MADHUSE,511000
YAMNINV,511012
PREMCAP,511016
ZMILGFIN,511018
JINDRILL,511034
KUSUMEL,511048
JUMBFNL,511060
SAKTHIFIN,511066
EASYFIN,511074
SATINDLTD,511076
TVOLCON,511096
SHIVTEX,511108
VBDESAI,511110
1STCUS,511122
KAMANWALA,511131
WSFIN,511147
REMITR,511149
ANJANIFOODS,511153
RKDAGRRTL,511169
PARSHWANA,511176
SURYAKR,511185
MILLENNIUM,511187
ICDSLTD,511194
CANFINHOME,511196
MUNCAPM,511200
IVC,511208
SRTRANSFIN,511218
CHOLAFIN,511243
SAGARSYST,511254
IDINFO,511260
VLSFINANCE,511333
INDCEMCAP,511355
ADMANUM,511359
MEHIF,511377
INTRGLB,511391
MCLTD,511401
SHRISTI,511411
CREST,511413
VAKRANGEE,511431
GUJCRED,511441
SYLPH,511447
DHARFIN,511451
ALEXANDER,511463
INDBANK,511473
BHARAT,511501
CAPITALT,511505
USHAKIRA,511507
VIVOBIOT,511509
VEERHEALTH,511523
PANINDIAC,511525
SAHARAHOUS,511533
NDASEC,511535
SUPRATRE,511539
GSBFIN,511543
MORARKFI,511549
MONARCH,511551
PROFINC,511557
TIMESGTY,511559
SODFC,511571
REGTRUS,511585
AVONMORE,511589
LIBORDFIN,511593
YASHMGM,511601
ARIHCAPM,511605
ISLCONSUL,511609
DCMFINSERV,511611
IMCAP,511628
SAMBHAAV,511630
DUGARHOU,511634
SUGALDAM,511654
NETTLINX,511658
SCANSTL,511672
GICHSGFIN,511676
MATHEWE,511688
AJCON,511692
CHRTEDCA,511696
STANCAP,511700
PARSHINV,511702
CUBIFIN,511710
RELICTEC,511712
NIMBSPROJ,511714
BALFC,511724
VIPUL,511726
KZLFIN,511728
USHDI,511736
MEHSECU,511738
UGROCAP,511742
SAHLIBHFI,511754
MANSIFIN,511758
UPASAFN,511764
MUTHTFN,511766
MASTERTR,511768
ZNILKENG,512004
AMANITRA,512008
TEATIME,512011
SOBME,512014
CNIRESLTD,512018
ZSARACOM,512020
WINROC,512022
NDMETAL,512024
INERTIAST,512025
PHTRADING,512026
KAPILCO,512036
ASWTR,512038
ROYALIND,512047
LUHARUKA,512048
SHYAM,512060
ZSANMCOM,512062
AYOME,512063
VISVEN,512064
MRUTR,512065
DECNGOLD,512068
UPL,512070
ANSHNCO,512091
CRANESSOFT,512093
PUNITCO,512099
TRIPR,512101
NIDHGRN,512103
AVIVA,512109
TWIROST,512117
SIGNETIND,512131
MLINDLTD,512153
TERRAREAL,512157
SECURKLOUD,512161
ABANSENT,512165
CAPRICORN,512169
VAMA,512175
SUNTECK,512179
BENTCOM,512195
SILVERO,512197
CLASELE,512213
STEPHANOTIS,512215
PRISMMEDI,512217
SPVGLOBAL,512221
VERITAS,512229
JAICORPLTD,512237
ZNIVITRD,512245
ASHCAP,512247
SVARTCORP,512257
BAJGLOB,512261
MMWL,512267
TASHIND,512271
AUTOINT,512277
NNTL,512279
ZSPEEDCO,512291
BHAGYNAGAR,512296
SHANTAI,512297
CHMBBRW,512301
ZMANSOON,512303
KRL,512329
MAHSHRE,512337
CESL,512341
ARAVALIS,512344
YASTF,512345
SWORDEDGE,512359
ZSHERAPR,512367
MAGANTR,512377
CRESSAN,512379
STARTECK,512381
SHARDUL,512393
KAPASHI,512399
BENGALS,512404
UNIWSEC,512408
MERCTRD,512415
NIRAVCOM,512425
ASUTENT,512433
APOLLOFI,512437
GANONPRO,512443
DEVITRD,512445
SHRJAGP,512453
LLOYDSME,512455
PUNCTRD,512461
SHRGLTR,512463
BETXIND,512477
GYTRIPA,512479
POLYTEX,512481
DHANCOT,512485
OASISEC,512489
GARNETINT,512493
SHALPRO,512499
VARUNME,512511
DONEAR,512519
NEPTEXP,512522
SUPER,512527
SEQUENT,512529
STCINDIA,512531
ZENITHEXPO,512553
AVANTI,512573
ZODJRDMKJ,512587
SITAENT,512589
PULSRIN,512591
UNIMOVR,512595
KEYFINSER,512597
ADANIENT,512599
MACINTR,512600
HARIAEXPO,512604
BHANDHOS,512608
RLF,512618
REGENTRP,512624
ORBTEXP,512626
SAVERA,512634
VBCFERROQ,513005
TATASTLLP,513010
NBVENTURES,513023
ZHINUDYP,513039
REMIEDEL,513043
GSAUTO,513059
TRANSFRE,513063
SHBCLQ,513097
GANDHITUBE,513108
AMFORG,513117
ORICON,513121
ACROW,513149
STLSTRINF,513173
NATNLSTEEL,513179
UTTAMSTL,513216
PENIND,513228
JYOTISTRUC,513250
JAYUSH,513252
SSWL,513262
MANINDS,513269
IMEC,513295
MDRNSTL,513303
TERRASCOPE,513305
SYNTHFO,513307
GOLKONDA,513309
METALFORGE,513335
GRANDFONRY,513343
AJMERA,513349
COCHINM,513353
ISWL,513361
RJKMRFR,513369
CARBORUNIV,513375
MMTC,513377
VALLABHSQ,513397
ASHIS,513401
SMFIL,513418
BLOIN,513422
MAITRI,513430
TATAMETALI,513434
SHAHALLOYS,513436
JSWISPL,513446
ELANGO,513452
KANSHST,513456
MAHALXSE,513460
SIMPLEXCAS,513472
SSWRL,513488
MEWATZI,513496
SOUTHMG,513498
BAROEXT,513502
GUJCONT,513507
KALYANIFRG,513509
PANCHMAHQ,513511
ADITYA,513513
SRIND,513515
STEELCAS,513517
PITTIENG,513519
GLITTEKG,513528
PRADPME,513532
GNRL,513536
TNSTLTU,513540
SHRDAIS,513548
MAHASTEEL,513554
HINDCOPPER,513599
SRIPIPES,513605
AXELPOLY,513642
NLCINDIA,513683
SPECTRA,513687
KAJARIR,513693
SOLIDSTON,513699
SHILGRAVQ,513709
WHITEORG,513713
MFSINTRCRP,513721
AROGRANITE,513729
HIMFIBP,514010
DEEPAKSP,514030
JBFIND,514034
LOYALTEX,514036
HIMATSEIDE,514043
BSL,514045
EVERTEX,514060
PBMPOLY,514087
ADINATH,514113
SURYALA,514138
SURYVANSP,514140
TTL,514142
WELSPUNIND,514162
INDIANACRY,514165
GANECOS,514167
CEETAIN,514171
VARDMNPOLY,514175
BLACKROSE,514183
STCORP,514197
SUMEETINDS,514211
BINNY,514215
RAMGOPOLY,514223
SANGAMIND,514234
TTLEL,514236
IKAB,514238
SRECR,514248
SURBHIN,514260
SEASONST,514264
ZENIFIB,514266
BHILSPIN,514272
AARVEEDEN,514274
SANTETX,514280
ASHIMASYN,514286
PIONEEREMB,514300
VIPPYSP,514302
JAIHINDS,514312
RAGHUSYN,514316
JATTAINDUS,514318
KAMADGIRI,514322
PATSPINLTD,514326
ONEGLOBAL,514330
NEOINFRA,514332
GENESIS,514336
PREMIERPOL,514354
EVERLON,514358
KRRAIL,514360
YARNSYN,514378
AJIL,514394
GARWSYN,514400
SHARDFI,514402
SARUPINDUS,514412
MANORG,514418
HINDADH,514428
BPTEX,514440
SRIKPRIND,514442
JYOTIRES,514448
MHLXMIRU,514450
SOUTLAT,514454
OSWAYRN,514460
WINSOMTX,514470
ASAHIIND,514482
MODINSU,515008
ASAHIINDIA,515030
MURUDCERA,515037
SAINTGOBAIN,515043
ANANTRAJ,515055
MADHUDIN,515059
MADHAV,515093
RAMASIGNS,515127
HINDNATGLS,515145
HALDYNGL,515147
DUROPLY,516003
SHREYANIND,516016
STARPAPER,516022
YASHPAKKA,516030
SARDAPPR,516032
NATPLY,516062
ARROWGREEN,516064
VISHNU,516072
JUMBO,516078
NRAGRINDQ,516082
3PLAND,516092
SANPA,516096
VENTURA,516098
SHKARTP,516106
STHINPA,516108
SCANDENT,516110
VINDHYATEL,517015
RIR,517035
ADORWELD,517041
IDM,517044
SALZER,517059
JETKINGQ,517063
INDAGIV,517077
APLAB,517096
PCS,517119
USHAMART,517146
SPELS,517166
SUBROS,517168
PERVASIVE,517172
HONAUT,517174
SWITCHTE,517201
LUMAXIND,517206
DIGISPICE,517214
CALCOM,517236
DYNAVSN,517238
BCCFUBA,517246
PRECISIO,517258
FINELINE,517264
HBLPOWER,517271
S&SPOWER,517273
GUJARATPOLY,517288
GIPCL,517300
CMI,517330
MOTHERSUMI,517334
MINDTECK,517344
HAVELLS,517354
ACIIN,517356
SBECSYS,517360
INCAP,517370
GUJINTRX,517372
IGARASHI,517380
SYMPHONY,517385
PANELEC,517397
LEENEE,517415
PATELSAI,517417
BUTTERFLY,517421
ATHENAGLO,517429
DUTRON,517437
RSSOFTWARE,517447
MAGNAELQ,517449
MARSONS,517467
ELNET,517477
ACCEL,517494
WEBELSOLAR,517498
ROTO,517500
TTKPRESTIG,517506
DHINDIA,517514
RAJGLOWIR,517522
SURANAT&P,517530
ONWARDTEC,517536
CENTUM,517544
ALFATRAN,517546
STARLITE,517548
NHCFOODS,517554
PVP,517556
TRIGYN,517562
KEI,517569
INDLMETER,517571
KEERTHI,518011
GSCLCEMENT,518029
SURAJ,518075
APCL,518091
MODINATUR,519003
PRSNTIN,519014
SHAHFOOD,519031
ZKHANDEN,519064
TASTYBIT,519091
RITESHIN,519097
AVTNPL,519105
HNDFDS,519126
NAHARINDUS,519136
VADILENT,519152
VADILALIND,519156
ASHAI,519174
ADFFOODS,519183
RGRL,519191
AJANTSOY,519216
WILLAMAGOR,519224
RICHIRICH,519230
SIEL,519234
SRDAPRT,519242
SANWARIA,519260
PRIMAGR,519262
MADHURIND,519279
TARAI,519285
MODAIRY,519287
BAMBINO,519295
PRIMIND,519299
VIKASWSP,519307
VSFPROJ,519331
BANSTEA,519353
POONADAL,519359
TRANSFD,519367
ANIKINDS,519383
SHINDL,519397
DATIWARE,519413
KMGMILK,519415
KSE,519421
PIONAGR,519439
NARBADA,519455
VIRATCRA,519457
AMBARPIL,519471
CHORDIA,519475
CIANAGRO,519477
TAIIND,519483
NKIND,519494
BKV,519500
NCCBLUE,519506
ASIANTNE,519532
HERITGFOOD,519552
SIMRAN,519566
DFM,519588
CCL,519600
KELLTONTEC,519602
SURFI,519604
INTEGFD,519606
MAHAANF,519612
RICOAUTO,520008
OMAXAUTO,520021
MUNJALSHOW,520043
JAMNAAUTO,520051
SUNCLAYLTD,520056
JTEKTINDIA,520057
MUNJALAU,520059
JAYBARMARU,520066
RACLGEAR,520073
SAMKRG,520075
ECSTSTL,520081
SICAL,520086
RATNAMANI,520111
VESUVIUS,520113
ASAL,520119
ARCEEIN,520121
ABCINDQ,520123
BALTE,520127
COARO,520131
SIBARAUT,520141
SHREYAS,520151
STARLOG,520155
SHVSUIT,521003
ICIL,521016
MARALOVER,521018
ADVLIFE,521048
TRIDENT,521064
HISARSP,521068
ALOKTEXT,521070
PASARI,521080
SPENTEX,521082
AMARJOTHI,521097
OLYMPTX,521105
NAGREEKEXP,521109
SUDTIND-B,521113
SBFL,521131
GEMSPIN,521133
EUREKAI,521137
ADITYASP,521141
DHANFAB,521151
SLSTLQ,521161
ZODIACLOTH,521163
SRMCL,521178
SUPERSPIN,521180
UNITEDTE,521188
SILINV,521194
SURYALAXMI,521200
SAMTEX,521206
DHANROTO,521216
DAMOINDUS,521220
SANBLUE,521222
UNIROYAL,521226
TATIAGLOB,521228
SUNILTX,521232
SRINACHA,521234
SAMBANDAM,521240
KANDAGIRI,521242
KITEX,521248
CRANEX,522001
BATLIBOI,522004
AUSTENG,522005
UNIDT,522014
FLUIDOM,522017
EMAINDIA,522027
WINDMACHIN,522029
SHANTIGEAR,522034
MIVENMACH,522036
HONDAPOWER,522064
HITECHGEAR,522073
ELGIEQUIP,522074
UVDRHOR,522091
KLBRENG-B,522101
BIRLAPREC,522105
YUKEN,522108
TIMKEN,522113
VOITHPAPR,522122
SOLIMAC,522152
INDSILHYD,522165
TMTIND-B1,522171
ITL,522183
FRONTSP,522195
PRAJIND,522205
RASANDIK,522207
YOGISUNG,522209
HLEGLAS,522215
GUJAPOLLO,522217
TANAA,522229
CONART,522231
SHIVAGR,522237
MMFL,522241
IYKOTHITE,522245
MAYURUNIQ,522249
CENLUB,522251
RAJOOENG,522257
JMCPROJECT,522263
VJLAXMIE,522267
AHMDSTE,522273
GET&D,522275
RAMRAT,522281
JAYNECOIND,522285
KALPATPOWR,522287
NMSRESRC,522289
CHANDNI,522292
TIGLOB,522294
CONTROLPR,522295
BEMHY,522650
ANSALBU,523007
WEIZMANIND,523011
BNRSEC,523019
RISHITECH,523021
SINCLAIR,523023
SAFARIND,523025
ZBINTXPP,523054
JJFINCOR,523062
COSMOFE,523100
FUTURSEC,523113
SANCTRN,523116
ADORMUL,523120
EIHAHOTELS,523127
MEDICAPQ,523144
OTCO,523151
MORGANITE,523160
SIPIND,523164
BAPACK,523186
ABAN,523204
KOKUYOCMLN,523207
BHARATSE,523229
CONTPTR,523232
NBFOOT,523242
MACPLASQ,523248
PEARLPOLY,523260
VENKYS,523261
ADVANIHOTR,523269
GVFILM,523277
SUPERHOUSE,523283
RAMAVISION,523289
TCPLPACK,523301
PURITY,523315
BALMLAWRIE,523319
KOVAI,523323
ELDEHSG,523329
MICROSE,523343
STDSHOE,523351
DCMSHRIRAM,523367
DCMSRMIND,523369
MAWANASUG,523371
MINID,523373
MAHAPEXLTD,523384
NILKAMAL,523385
NAHARPOLY,523391
3MINDIA,523395
JCHAC,523398
JMFINANCIL,523405
ADCINDIA,523411
TNTELE,523419
SUNRAJDI,523425
RIIL,523445
SHARP,523449
LINDEINDIA,523457
INDBNK,523465
JAIMATAG,523467
LOTUSCHO,523475
PACIFICI,523483
